名称,地点,薪资,招聘需求,详情网址,区域
qt/c++开发工程师,上海·崇明区·陈家,15-25K·13薪,"3-5年,本科",https://www.zhipin.com/job_detail/0e26a18c825c246d1HRz3tS7EVNW.html?lid=4R66DVQbjLz.search.35&securityId=Rif43vRgZYORx-y1mJzteldNoPLLj8LUCmbp-EHGN2JAIW24PLEhw5v42cdxiBdbyuD7qRzuch77iLEqBIig3AWn3k2uKtSYWnhUCxm9YyEm7YWxZczYR41nai3Jv5CrTtwbT7rjBav0CQ~~&sessionId=,崇明区
运维工程师,上海·崇明区·城桥,6-10K·13薪,"经验不限,学历不限",https://www.zhipin.com/job_detail/5cd77c33ddc7b8d91HZ52d68EFZY.html?lid=4R66DVQbjLz.search.36&securityId=uYbsQXYA9IrsS-p1ZosRLuUNpYeImQxDW2cyuDjimVO-dtryYSy4l6Ct5ttiGuGG1WtngT5wItOnHAlXjWWx6q5Ers6L5V335IVMYy_ZD7VQOO58OnYSfbqC9Q1Km9XhX9v0sMLa1ww~&sessionId=,崇明区
项目经理,上海·崇明区·城桥,10-15K,"3-5年,本科",https://www.zhipin.com/job_detail/eeb4703936a7c8b21HB_39u5F1dU.html?lid=4R66DVQbjLz.search.37&securityId=CZyc46hH9EXG--A1-FwUA15GFoxvf5Z_trLIaFkeNXBxbSn-Lvqge2cqm4J7UmTv4YTNey4ndCY-NtLpEK5wkdZt6GtFVlSxLgpW2volYGeMipKDxcDg8efHaFG4gd3EAo0aF9ellHA~&sessionId=,崇明区
研发工程师助理,上海·崇明区·长兴岛,5-8K,"经验不限,大专",https://www.zhipin.com/job_detail/4768e3c075f9907d1HB93961ElNS.html?lid=4R66DVQbjLz.search.38&securityId=VHLKOZcbh13ow-W13M0gmqI7Xpmg0-rTxCiBJIeC4c_F87DBtkvuXuWIzdMNZzzle3fOHgSJikLcO30T2_mvuNeAZiJc3NogvKme780EsdqowY0t-rKYFF2Yz6Dg4FPPgqXbAjv8mErFrQ~~&sessionId=,崇明区
系统集成工程师,上海·崇明区·长兴岛,6-9K,"3-5年,大专",https://www.zhipin.com/job_detail/afbf04bbe5255a3a3nJ-0tW0GVU~.html?lid=4R66DVQbjLz.search.39&securityId=0NvXPYnGzc4px-P1UoNjTBejZnSO-pXsR5zR2PpN_MdyFAxprxDLRohKDSaDyu7s6eAE5GE4IECTdqKPAr5oCmref-yOCTdRmZs7GRBckNBUHFeQqmg5oqTn5jfEG-ZwHyxU4lRLcsDt&sessionId=,崇明区
运维技术工程师,上海,6-10K,"3-5年,本科",https://www.zhipin.com/job_detail/9dfa1121cc9813ab33d62d27E1E~.html?lid=4R66DVQbjLz.search.40&securityId=MvSRhZQOjXLcV-q1fZCcUe2MxedOYk2qBbcai03hlOpm9_CThncg5auSnWWdEQ676SXw6YMpXQbL6rgIG1R-VBex7s_JakhFJsSpvsxf0w7Yxymv0zr9-SvaivXi92GX1cdQCSPn6Fk~&sessionId=,崇明区
实施工程师,上海·崇明区·长兴岛,6-8K·13薪,"1年以内,大专",https://www.zhipin.com/job_detail/6f6923513a1f2cb53n1629-_FlE~.html?lid=4R66DVQbjLz.search.41&securityId=930qCLUeaGoSF-61SqfqjUIHPQAjnoUPgcbeCtZNWt6-Ie7FR1IbUSa_SosI-0OoKLMMcZ-PoAr9Kr538l8IfbiqGmV-CtxW64PVO1nACDNb6iaR_-YjKp8chYk52pOvr-IwMLg4Qg~~&sessionId=,崇明区
PMIC 研发经理,上海,50-70K·15薪,"5-10年,硕士",https://www.zhipin.com/job_detail/fa0f17dc11cd00111Hd92N61EVNZ.html?lid=4R66DVQbjLz.search.42&securityId=A8wkDwrljyHZw-01_OtGxvpisMOvehUiLeBOeeQ-JPhra1PYC9Dxhp9olXkLivAnoFmLWTw0rFyoW2ufhTk8qG9qiogVVmFBF-rR3wCHv8tnFeXlgtdMQSAioMCrUJKSYuGWFkOvZ4E~&sessionId=,崇明区
匿名公司招聘汽车零部件设计,上海,20-30K,"5-10年,大专",https://www.zhipin.com/job_detail/5755a6c416d320ac1HBy2Ni7GFVU.html?lid=4R66DVQbjLz.search.43&securityId=5LXezglt7PnaC-C1hD9u3k_x2LZ8VddVR5lBxx1A5pVJXmFW5YBB1mfDfaVkYB-3UuILM2maul9Nmn2cvfprIJONX__IjkTCC_FmTSAf9C0n93uJsSJ4mHsOjf_tzihtL7sIiWGoVlM~&sessionId=,崇明区
施工测量技术员,上海·崇明区·横沙岛,7-12K,"经验不限,大专",https://www.zhipin.com/job_detail/437a67b4e4692de51HV72tu-FlNU.html?lid=4R66DVQbjLz.search.44&securityId=NI1cJsFzhJ3o1-K15ms9OlAuhASZhs9qXnfL_QTf_EH1jq65j4CKPaDI8ROdxqDQ7yexIxTya_EGay-EkLm-cUv6Az3KxjTLAUN8G2odguJmnZ1EQTEEFVRAapYM-fprvoRUNqNRf7KyWQ~~&sessionId=,崇明区
